ID,Title,Artist,Category,Year,Medium,Dimensions,Value,Condition,Status,Warehouse,Floor,Shelf,Box,Folder,Description,Provenance,Tags,Notes,Image,Date_Added,Last_Moved,Last_Synced,Sync_Source
ART-2024-001,Sunset Over the Pacific,Maria Gonzalez,painting,2023,Oil on canvas,36x48 inches,25000.00,excellent,Available,2,1,10,5,3,"A breathtaking portrayal of the Pacific coastline at sunset, featuring vibrant oranges and purples reflecting on the water.","Acquired from artist's studio, 2024","landscape, ocean, contemporary, oil",Featured in Pacific Coast Art Exhibition 2023,photo-1506905925346-21bda4d32df4?w=400&h=300&fit=crop,01/15/2024,08/06/2025,08/06/2025,WebApp
ART-2024-002,Urban Fragments,David Chen,mixed-media,2022,Acrylic and collage on canvas,24x30 inches,18500.00,excellent,Available,3,2,15,7,4,An abstract representation of city life through layered textures and geometric forms.,"Private collection, New York","abstract, urban, contemporary, mixed-media",Part of the Urban Rhythms series,photo-1541961017774-22349e4a1262?w=400&h=300&fit=crop,01/20/2024,08/06/2025,08/06/2025,WebApp
ART-2024-003,Forest Whispers,Elena Kozlova,photography,2023,Fine art photography on archival paper,20x30 inches,8500.00,mint,Available,2,2,12,7,1,A hauntingly beautiful capture of morning light filtering through ancient forest canopy.,"Artist's collection, limited edition 5/25","nature, photography, forest, limited-edition",Signed and numbered by artist,photo-1441974231531-c6227db76b6e?w=400&h=300&fit=crop,02/01/2024,02/01/2024,08/06/2025,WebApp
ART-2024-004,Architectural Dreams,James Morrison,digital-art,2024,Digital print on metal,40x60 inches,12000.00,excellent,On Loan,1,2,8,4,3,A futuristic interpretation of modern architecture blending reality with digital imagination.,"Gallery acquisition, 2024","architecture, digital, contemporary, geometric",Currently on loan to Modern Art Museum,photo-1511818966892-d7d671e672a2?w=400&h=300&fit=crop,02/10/2024,02/15/2024,08/06/2025,WebApp
ART-2024-005,Ocean's Memory,Sofia Andersson,sculpture,2023,Bronze and glass,18x24x12 inches,35000.00,excellent,Available,3,1,20,2,5,An abstract sculpture capturing the fluid movement and memory of ocean waves.,"Commissioned work, 2023","sculpture, bronze, ocean, contemporary",Requires climate-controlled environment,photo-1439066615861-d1af74d74000?w=400&h=300&fit=crop,02/20/2024,02/20/2024,08/06/2025,WebApp
ART-2024-006,Street Stories,Marcus Rodriguez,street-art,2022,Spray paint and markers on canvas,48x72 inches,22000.00,good,Available,1,1,5,3,2,A vibrant piece that tells the story of urban life through bold colors and dynamic composition.,Artist's studio acquisition,"street-art, urban, contemporary, spray-paint",Part of the Underground Voices collection,photo-1578662996442-48f60103fc96?w=400&h=300&fit=crop,03/01/2024,03/01/2024,08/06/2025,WebApp
ART-2024-007,Renaissance Echo,Isabella Rossi,painting,2023,Oil on wood panel,16x20 inches,45000.00,excellent,Reserved,4,3,15,9,4,"A masterful homage to Renaissance portraiture, combining classical techniques with contemporary sensibility.",European private collection,"classical, renaissance, portrait, oil",Reserved for upcoming exhibition,photo-1578321272176-b7bbc0679853?w=400&h=300&fit=crop,03/10/2024,03/10/2024,08/06/2025,WebApp
ART-2024-008,Geometric Harmony,Alex Kim,abstract,2024,Acrylic on canvas,30x40 inches,16500.00,mint,Available,2,2,12,7,1,A sophisticated exploration of geometric forms and color relationships in abstract composition.,"Gallery debut, 2024","abstract, geometric, contemporary, acrylic",Artist's first major gallery piece,photo-1578662996442-48f60103fc96?w=400&h=300&fit=crop,03/15/2024,03/15/2024,08/06/2025,WebApp
ART-2024-009,Botanical Dreams,Claire Thompson,illustration,2023,Watercolor and ink on paper,22x28 inches,7500.00,excellent,Available,5,1,25,6,3,Delicate botanical illustrations showcasing the artist's mastery of watercolor techniques.,Artist's collection,"botanical, watercolor, nature, illustration",Part of the Flora series (12 pieces),photo-1578926288207-b8ef37bd95e2?w=400&h=300&fit=crop,03/20/2024,03/20/2024,08/06/2025,WebApp
ART-2024-010,Digital Synthesis,Ryan Nakamura,digital-art,2024,Digital art on LED display,32x48 inches,28000.00,excellent,Available,1,3,18,1,5,An innovative digital artwork that responds to environmental changes with dynamic visual patterns.,Technology Art Fair acquisition,"digital, interactive, technology, contemporary",Requires specialized display equipment,photo-1541961017774-22349e4a1262?w=400&h=300&fit=crop,03/25/2024,03/25/2024,08/06/2025,WebApp
ART-2024-011,Portrait of Memories,Fatima Al-Zahra,painting,2023,Oil and gold leaf on canvas,24x36 inches,32000.00,excellent,Available,1,1,5,3,2,A powerful contemporary portrait incorporating traditional gold leaf techniques with modern subject matter.,"International Art Fair, Dubai","portrait, contemporary, gold-leaf, cultural",Winner of Emerging Artist Award 2023,photo-1578662996442-48f60103fc96?w=400&h=300&fit=crop,04/01/2024,04/01/2024,08/06/2025,WebApp
ART-2024-012,Metamorphosis,Dr. Sarah Chen,installation,2024,Mixed media installation,120x96x48 inches,65000.00,excellent,In Storage,3,2,10,5,4,A large-scale installation exploring themes of transformation and evolution through interactive elements.,Science Art Collaborative commission,"installation, interactive, science, transformation",Requires 20x20 foot space minimum for installation,photo-1578321272176-b7bbc0679853?w=400&h=300&fit=crop,04/05/2024,04/05/2024,08/06/2025,WebApp
ART-2024-013,Crystalline Formation,Michael Berg,sculpture,2023,Crystal and steel,48x24x24 inches,42000.00,excellent,Available,2,2,12,7,1,An elegant sculpture combining natural crystal formations with industrial steel framework.,Mineral Art Symposium acquisition,"sculpture, crystal, geometric, minerals",Handle with extreme care - crystal components are fragile,photo-1578926288207-b8ef37bd95e2?w=400&h=300&fit=crop,04/10/2024,04/10/2024,08/06/2025,WebApp
ART-2024-014,Typography Dreams,Lisa Park,graphic-design,2024,Digital print on brushed aluminum,36x24 inches,9500.00,mint,Available,4,1,8,2,3,A sophisticated typographic composition exploring the intersection of language and visual art.,Design Museum acquisition,"typography, design, digital, aluminum",Limited edition of 50 pieces,photo-1578662996442-48f60103fc96?w=400&h=300&fit=crop,04/15/2024,04/15/2024,08/06/2025,WebApp
ART-2024-015,Serenity in Blue,Thomas Andersson,painting,2023,Watercolor on handmade paper,18x24 inches,13500.00,excellent,Available,5,3,22,8,2,A tranquil watercolor seascape that captures the meditative quality of coastal environments.,Scandinavian Art Collective,"watercolor, landscape, seascape, meditation",Painted en plein air in the Swedish archipelago,photo-1506905925346-21bda4d32df4?w=400&h=300&fit=crop,04/20/2024,04/20/2024,08/06/2025,WebApp
ART-FM-001,Mona Lisa Study,Leonardo da Vinci,painting,1503,Oil on canvas,30x21 inches,15000.00,excellent,Available,1,2,3,1,1,Famous portrait study,Private collection since 1990,"portrait, renaissance, study",VIP artwork,mona_lisa_study.jpg,01/15/2024,01/15/2024,08/06/2025,WebApp
ART-FM-002,Abstract Composition #5,Jackson Pollock,painting,1951,Acrylic on canvas,48x36 inches,85000.00,good,In Storage,2,1,4,2,3,Bold abstract expressionist work,Acquired from estate sale,"abstract, modern, pollock",Requires climate control,pollock_abstract_5.jpg,02/01/2024,07/15/2024,08/06/2025,WebApp